"district_code","district_name","Income_Average_rank_2015","Income_Rank_of_average_rank_2015","Income_Average_score_2015","Income_Rank_of_average_score_2015","Income_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Income_Rank_of_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Income_Scale_2015","Income_Rank_of_scale_2015","Employment_Average_rank_2015","Employment_Rank_of_average_rank_2015","Employment_Average_score_2015","Employment_Rank_of_average_score_2015","Employment_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Employment_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Employment_Scale_2015","Employment_Rank_of_scale_2015","Education_Skills_and_Training_Average_rank_2015","Education_Skills_and_Training_Rank_of_average_rank_2015","Education_Skills_and_Training_Average_score_2015","Education_Skills_and_Training_Rank_of_average_score_2015","Education_Skills_and_Training_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Education_Skills_and_Training_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Health_Deprivation_and_Disability_Average_rank_2015","Health_Deprivation_and_Disability_Rank_of_average_rank_2015","Health_Deprivation_and_Disability_Average_score_2015","Health_Deprivation_and_Disability_Rank_of_average_score_2015","Health_Deprivation_and_Disability_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Health_Deprivation_and_Disability_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Crime_Average_rank_2015","Crime_Rank_of_average_rank_2015","Crime_Average_score_2015","Crime_Rank_of_average_score_2015","Crime_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Crime_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Barriers_to_Housing_and_Services_Average_rank_2015","Barriers_to_Housing_and_Services_Rank_of_average_rank_2015","Barriers_to_Housing_and_Services_Average_score_2015","Barriers_to_Housing_and_Services_Rank_of_average_score_2015","Barriers_to_Housing_and_Services_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Barriers_to_Housing_and_Services_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Living_Environment_Average_rank_2015","Living_Environment_Rank_of_average_rank_2015","Living_Environment_Average_score_2015","Living_Environment_Rank_of_average_score_2015","Living_Environment_Proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Living_Environment_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2015","Income_Average_rank_2019","Income_Rank_of_average_rank_2019","Income_Average_score_2019","Income_Rank_of_average_score_2019","Income_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Income_Rank_of_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Income_Scale_2019","Income_Rank_of_scale_2019","Employment_Average_rank_2019","Employment_Rank_of_average_rank_2019","Employment_Average_score_2019","Employment_Rank_of_average_score_2019","Employment_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Employment_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Employment_Scale_2019","Employment_Rank_of_scale_2019","Education_Skills_and_Training_Average_rank_2019","Education_Skills_and_Training_Rank_of_average_rank_2019","Education_Skills_and_Training_Average_score_2019","Education_Skills_and_Training_Rank_of_average_score_2019","Education_Skills_and_Training_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Education_Skills_and_Training_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Health_Deprivation_and_Disability_Average_rank_2019","Health_Deprivation_and_Disability_Rank_of_average_rank_2019","Health_Deprivation_and_Disability_Average_score_2019","Health_Deprivation_and_Disability_Rank_of_average_score_2019","Health_Deprivation_and_Disability_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Health_Deprivation_and_Disability_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Crime_Average_rank_2019","Crime_Rank_of_average_rank_2019","Crime_Average_score_2019","Crime_Rank_of_average_score_2019","Crime_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Crime_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Barriers_to_Housing_and_Services_Average_rank_2019","Barriers_to_Housing_and_Services_Rank_of_average_rank_2019","Barriers_to_Housing_and_Services_Average_score_2019","Barriers_to_Housing_and_Services_Rank_of_average_score_2019","Barriers_to_Housing_and_Services_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Barriers_to_Housing_and_Services_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Living_Environment_Average_rank_2019","Living_Environment_Rank_of_average_rank_2019","Living_Environment_Average_score_2019","Living_Environment_Rank_of_average_score_2019","Living_Environment_Proportion_of_LSOAs_in_most_deprived_10_nationally_2019","Living_Environment_Rank_of_proportion_of_LSOAs_in_most_deprived_10_nationally_2019"
"E09000001","City of London",6471,322,0.1,322,0,211,447,325,5782.1,322,0,324,0,200,253.8,325,4266.3,325,4.1,324,0,257,9121,238,-0.9,279,0,173,2660.8,326,-1.2,326,0,220,26183.5,11,30.7,24,0,264,29001.4,5,48.3,4,0.5,4,8080,292,0.1,280,0,201,431,316,8325.3,286,0.1,286,0,209,218.5,316,5270.4,314,5.5,314,0,243,8758.3,247,-0.7,254,0,173,1234.8,317,-1.7,317,0,201,28055.8,10,35.7,10,0.7,5,26411.2,10,39,13,0.3,22
"E09000002","Barking and Dagenham",26377.5,1,0.2,9,0.1,65,46056,45,23669.7,17,0.2,45,0,159,17541.8,65,22404.8,30,27.2,78,0,257,21520.1,70,0.4,77,0,165,27787.1,3,0.9,4,0.4,6,29199.1,4,37.6,5,0.4,8,21863.3,56,26.5,81,0,232,25142.7,4,0.2,20,0,136,39254,51,21951.1,43,0.1,70,0,209,14074.8,73,21696.4,44,25.5,101,0,243,19499.7,94,0.2,96,0,162,23668.3,21,0.5,28,0.1,55,31669.7,2,46.3,2,0.9,3,23068.5,41,29.1,52,0,165
"E09000003","Barnet",16528.5,131,0.1,140,0,154,48176,42,13218.3,199,0.1,204,0,200,19723.3,56,8364.3,309,8.5,311,0,257,8395.3,259,-0.7,262,0,173,21712.9,49,0.4,49,0.1,98,25262.1,17,31,21,0.2,46,19914.2,81,23.9,102,0,210,16104.1,137,0.1,149,0,185,41746,45,13169.1,201,0.1,205,0,209,16661,57,7894.6,302,7.8,302,0,243,5011.8,297,-1.1,298,0,173,17479.5,111,0.1,113,0,168,25355.6,20,31.2,21,0.2,42,20275.3,71,24.7,91,0,191
"E09000004","Bexley",15387.4,158,0.1,155,0,193,29389,90,14305.3,179,0.1,179,0,200,13035.3,96,16780.6,146,18.3,175,0,255,9044.8,242,-0.6,245,0,173,17291.2,107,0.1,112,0,172,18812.2,100,23.6,106,0.1,146,13020.6,210,14.3,223,0,232,14732.3,171,0.1,170,0,198,25467,95,13522.2,194,0.1,193,0,203,10756,98,16899.3,140,18.3,175,0,241,9446.2,228,-0.6,230,0,173,14596.5,165,-0.1,156,0,172,20691,58,25.9,61,0.1,101,16997,123,19.8,144,0,251
"E09000005","Brent",22115.9,30,0.2,46,0.1,80,59061,23,18297.1,105,0.1,117,0,133,24383.8,39,15279.8,179,16.4,210,0,257,13533.4,174,-0.2,170,0,168,24742.6,17,0.6,21,0.2,41,29279.8,3,38.1,3,0.5,5,22746.7,43,29.3,59,0.1,108,21445.3,38,0.2,65,0.1,92,50137,27,17690.6,110,0.1,122,0,132,19894.8,42,14477.3,199,15.2,225,0,243,10642.8,210,-0.5,207,0,173,21996.4,45,0.4,49,0.1,68,30661.4,4,42.8,3,0.8,4,22811.3,46,28.7,54,0,180
"E09000006","Bromley",13014.4,211,0.1,189,0.1,121,34997,71,12189.3,223,0.1,208,0,163,15952.8,74,10418.2,281,11.5,274,0,256,8075.4,265,-0.8,270,0,172,19391,78,0.3,74,0.1,75,20267.3,66,24.9,80,0.1,152,13894.8,190,16,197,0,232,12232.8,219,0.1,207,0,135,29540,82,11414.4,231,0.1,224,0,208,12757.5,82,9841.2,281,10.6,277,0,243,6522.5,275,-0.9,280,0,173,15906.4,132,0,132,0.1,121,22995.1,32,27.8,40,0.1,112,15733,140,18.4,166,0,251
"E09000007","Camden",19619.1,65,0.2,66,0.1,76,38989,59,16577.6,135,0.1,134,0,154,17704.5,64,10899.1,271,11.3,280,0,257,16600.7,129,0,138,0,137,22852,34,0.5,35,0.2,46,18144.2,115,22.5,133,0,257,29152.6,4,47.7,5,0.5,5,18655.6,87,0.1,90,0.1,97,34330,63,15925.9,151,0.1,148,0,199,14945.5,66,10337.7,274,10.5,279,0,243,10894.3,207,-0.6,227,0,173,20400.7,70,0.3,69,0.1,72,17780.1,132,21.6,152,0,250,24878.5,22,33.5,35,0.1,66
"E09000008","Croydon",19149.4,72,0.2,90,0.1,131,59704,19,17453.6,117,0.1,133,0,185,25712,30,14136.2,207,15.7,220,0,239,14879.6,155,-0.1,155,0,157,24273.3,21,0.6,22,0.3,23,25824.6,14,31.7,19,0.2,44,19158.7,94,24.1,101,0.1,137,18584.2,89,0.1,97,0.1,115,51702,26,16769.5,128,0.1,143,0,195,20961.3,32,14304.1,203,15.6,220,0,224,14352.6,165,-0.2,165,0,172,20068.8,74,0.3,74,0.1,122,27123.4,15,34,14,0.4,14,20381,69,26,77,0.1,130
"E09000009","Ealing",19828,61,0.2,79,0.1,103,56435,28,16463.4,137,0.1,148,0,171,23650,41,12516.4,248,13.2,259,0,257,15766.8,142,-0.1,145,0,171,24310.1,20,0.6,26,0.2,48,25438.4,16,31.7,18,0.3,28,22555.1,47,28.4,62,0,143,19531.3,63,0.1,94,0.1,114,48235,34,16590.7,136,0.1,146,0,161,19506.8,43,12144.4,246,12.5,253,0,243,12374.1,189,-0.3,189,0,173,19489.7,80,0.2,79,0.1,99,28039.4,11,36.5,6,0.5,9,23725.1,34,30.3,46,0,161
"E09000010","Enfield",22771,20,0.2,25,0.2,36,66570,14,19559.5,77,0.1,88,0,140,25095.3,34,16940.3,143,20.7,144,0,247,12696.2,188,-0.3,189,0,173,24242.6,22,0.6,23,0.2,30,25815,15,32,16,0.2,39,20525.9,72,25,93,0,185,21937.5,30,0.2,41,0.1,65,56010,17,18498.5,92,0.1,104,0,176,20119.5,40,16856,141,20.3,145,0,242,9915.4,221,-0.5,222,0,173,19084.4,84,0.2,89,0,147,29478.9,5,39.7,5,0.6,6,21993.3,53,27.5,65,0,182
