borough_gss,borough_name,year,population
E09000002,Barking and Dagenham,2011,187029
E09000002,Barking and Dagenham,2012,191453
E09000002,Barking and Dagenham,2013,196204
E09000002,Barking and Dagenham,2014,201244
E09000002,Barking and Dagenham,2015,206450
E09000002,Barking and Dagenham,2016,211047
E09000002,Barking and Dagenham,2017,214017
E09000002,Barking and Dagenham,2018,216298
E09000002,Barking and Dagenham,2019,218828
E09000002,Barking and Dagenham,2020,219227
E09000002,Barking and Dagenham,2021,218714
E09000002,Barking and Dagenham,2022,220392
E09000002,Barking and Dagenham,2023,226301
E09000002,Barking and Dagenham,2024,232747
E09000003,Barnet,2011,357538
E09000003,Barnet,2012,363260
E09000003,Barnet,2013,368611
E09000003,Barnet,2014,373853
E09000003,Barnet,2015,377826
E09000003,Barnet,2016,382925
E09000003,Barnet,2017,384117
E09000003,Barnet,2018,387574
E09000003,Barnet,2019,390590
E09000003,Barnet,2020,391046
E09000003,Barnet,2021,388955
E09000003,Barnet,2022,390371
E09000003,Barnet,2023,398191
E09000003,Barnet,2024,405050
E09000004,Bexley,2011,232774
E09000004,Bexley,2012,234435
E09000004,Bexley,2013,236169
E09000004,Bexley,2014,239112
E09000004,Bexley,2015,241427
E09000004,Bexley,2016,244006
E09000004,Bexley,2017,244494
E09000004,Bexley,2018,245244
E09000004,Bexley,2019,246622
E09000004,Bexley,2020,246924
E09000004,Bexley,2021,246637
E09000004,Bexley,2022,247875
E09000004,Bexley,2023,252124
E09000004,Bexley,2024,256434
E09000005,Brent,2011,312245
E09000005,Brent,2012,317984
E09000005,Brent,2013,324345
E09000005,Brent,2014,329981
E09000005,Brent,2015,335605
E09000005,Brent,2016,339524
E09000005,Brent,2017,342439
E09000005,Brent,2018,345558
E09000005,Brent,2019,347424
E09000005,Brent,2020,343988
E09000005,Brent,2021,339248
E09000005,Brent,2022,341505
E09000005,Brent,2023,348751
E09000005,Brent,2024,352976
E09000006,Bromley,2011,310554
E09000006,Bromley,2012,314663
E09000006,Bromley,2013,318582
E09000006,Bromley,2014,321800
E09000006,Bromley,2015,325653
E09000006,Bromley,2016,327701
E09000006,Bromley,2017,329134
E09000006,Bromley,2018,330367
E09000006,Bromley,2019,331192
E09000006,Bromley,2020,331247
E09000006,Bromley,2021,329899
E09000006,Bromley,2022,329930
E09000006,Bromley,2023,332482
E09000006,Bromley,2024,335319
E09000007,Camden,2011,220087
E09000007,Camden,2012,219647
E09000007,Camden,2013,221348
E09000007,Camden,2014,221095
E09000007,Camden,2015,221032
E09000007,Camden,2016,221024
E09000007,Camden,2017,218833
E09000007,Camden,2018,217915
E09000007,Camden,2019,217136
E09000007,Camden,2020,214768
E09000007,Camden,2021,210968
E09000007,Camden,2022,217352
E09000007,Camden,2023,217235
E09000007,Camden,2024,216943
E09000001,City of London,2011,7412
E09000001,City of London,2012,7514
E09000001,City of London,2013,7537
E09000001,City of London,2014,7567
E09000001,City of London,2015,7668
E09000001,City of London,2016,7737
E09000001,City of London,2017,7877
E09000001,City of London,2018,8165
E09000001,City of London,2019,8765
E09000001,City of London,2020,8331
E09000001,City of London,2021,8689
E09000001,City of London,2022,11615
E09000001,City of London,2023,13606
E09000001,City of London,2024,15111
E09000008,Croydon,2011,364815
E09000008,Croydon,2012,369617
E09000008,Croydon,2013,374270
E09000008,Croydon,2014,378244
E09000008,Croydon,2015,381277
E09000008,Croydon,2016,384382
E09000008,Croydon,2017,385567
E09000008,Croydon,2018,386999
E09000008,Croydon,2019,390643
E09000008,Croydon,2020,392101
E09000008,Croydon,2021,390691
E09000008,Croydon,2022,393547
E09000008,Croydon,2023,402217
E09000008,Croydon,2024,409342
E09000009,Ealing,2011,339314
E09000009,Ealing,2012,344834
E09000009,Ealing,2013,350650
E09000009,Ealing,2014,354660
E09000009,Ealing,2015,359144
E09000009,Ealing,2016,362163
E09000009,Ealing,2017,362670
E09000009,Ealing,2018,364208
E09000009,Ealing,2019,367284
E09000009,Ealing,2020,367936
E09000009,Ealing,2021,366762
E09000009,Ealing,2022,370315
E09000009,Ealing,2023,379203
E09000009,Ealing,2024,385985
E09000010,Enfield,2011,313935
E09000010,Enfield,2012,317780
E09000010,Enfield,2013,321754
E09000010,Enfield,2014,326340
E09000010,Enfield,2015,330868
E09000010,Enfield,2016,333295
E09000010,Enfield,2017,333077
E09000010,Enfield,2018,334000
E09000010,Enfield,2019,335151
E09000010,Enfield,2020,333149
E09000010,Enfield,2021,329876
E09000010,Enfield,2022,326867
E09000010,Enfield,2023,328014
E09000010,Enfield,2024,327434
E09000011,Greenwich,2011,255483
E09000011,Greenwich,2012,260360
E09000011,Greenwich,2013,264036
E09000011,Greenwich,2014,268305
E09000011,Greenwich,2015,274230
E09000011,Greenwich,2016,278768
E09000011,Greenwich,2017,282376
E09000011,Greenwich,2018,285773
E09000011,Greenwich,2019,288205
E09000011,Greenwich,2020,288384
E09000011,Greenwich,2021,289537
E09000011,Greenwich,2022,292381
E09000011,Greenwich,2023,296420
E09000011,Greenwich,2024,299528
E09000012,Hackney,2011,247182
E09000012,Hackney,2012,251193
E09000012,Hackney,2013,255646
E09000012,Hackney,2014,258735
E09000012,Hackney,2015,261929
E09000012,Hackney,2016,264892
E09000012,Hackney,2017,264834
E09000012,Hackney,2018,266210
E09000012,Hackney,2019,265825
E09000012,Hackney,2020,263782
E09000012,Hackney,2021,260082
E09000012,Hackney,2022,261814
E09000012,Hackney,2023,265411
E09000012,Hackney,2024,266758
E09000013,Hammersmith and Fulham,2011,182445
E09000013,Hammersmith and Fulham,2012,184439
E09000013,Hammersmith and Fulham,2013,186056
E09000013,Hammersmith and Fulham,2014,186659
E09000013,Hammersmith and Fulham,2015,187246
E09000013,Hammersmith and Fulham,2016,187472
E09000013,Hammersmith and Fulham,2017,187720
E09000013,Hammersmith and Fulham,2018,189037
E09000013,Hammersmith and Fulham,2019,188562
E09000013,Hammersmith and Fulham,2020,186555
E09000013,Hammersmith and Fulham,2021,183310
E09000013,Hammersmith and Fulham,2022,185822
E09000013,Hammersmith and Fulham,2023,187479
E09000013,Hammersmith and Fulham,2024,188687
E09000014,Haringey,2011,255540
E09000014,Haringey,2012,259312
E09000014,Haringey,2013,265054
E09000014,Haringey,2014,268901
E09000014,Haringey,2015,272938
E09000014,Haringey,2016,276262
E09000014,Haringey,2017,274463
E09000014,Haringey,2018,274240
E09000014,Haringey,2019,273716
E09000014,Haringey,2020,269534
E09000014,Haringey,2021,264317
E09000014,Haringey,2022,262078
E09000014,Haringey,2023,263362
E09000014,Haringey,2024,263850
E09000015,Harrow,2011,240499
E09000015,Harrow,2012,243800
E09000015,Harrow,2013,247018
