"","lsoa_code","borough","lsoa_name","year","population","crime_type_count","crime_rate_per_1000"
"1","E09000007","Camden","London Borough",2011,220087,50399,229
"2","E09000007","Camden","London Borough",2012,219647,15865,72.23
"3","E09000007","Camden","London Borough",2013,221348,6008,27.14
"4","E09000007","Camden","London Borough",2014,221095,9035,40.86
"5","E09000007","Camden","London Borough",2015,221032,18872,85.38
"6","E09000007","Camden","London Borough",2016,221024,38760,175.37
"7","E09000007","Camden","London Borough",2017,218833,46231,211.26
"8","E09000007","Camden","London Borough",2018,217915,44484,204.13
"9","E09000007","Camden","London Borough",2019,217136,47062,216.74
"10","E09000007","Camden","London Borough",2020,214768,42808,199.32
"11","E09000007","Camden","London Borough",2021,210968,38017,180.2
"12","E09000007","Camden","London Borough",2022,217352,43882,201.89
"13","E09000007","Camden","London Borough",2023,217235,48825,224.76
"14","E09000007","Camden","London Borough",2024,216943,50970,234.95
"15","E09000001","City of London","London Borough",2011,7412,7493,1010.93
"16","E09000001","City of London","London Borough",2012,7514,7015,933.59
"17","E09000001","City of London","London Borough",2013,7537,6121,812.13
"18","E09000001","City of London","London Borough",2014,7567,6044,798.73
"19","E09000001","City of London","London Borough",2015,7668,5842,761.87
"20","E09000001","City of London","London Borough",2016,7737,6617,855.24
"21","E09000001","City of London","London Borough",2017,7877,7311,928.15
"22","E09000001","City of London","London Borough",2018,8165,8244,1009.68
"23","E09000001","City of London","London Borough",2019,8765,9930,1132.92
"24","E09000001","City of London","London Borough",2020,8331,5658,679.15
"25","E09000001","City of London","London Borough",2021,8689,6415,738.29
"26","E09000001","City of London","London Borough",2022,11615,8889,765.3
"27","E09000001","City of London","London Borough",2023,13606,9502,698.37
"28","E09000001","City of London","London Borough",2024,15111,10139,670.97
"29","E09000012","Hackney","London Borough",2011,247182,41393,167.46
"30","E09000012","Hackney","London Borough",2012,251193,13754,54.75
"31","E09000012","Hackney","London Borough",2013,255646,5663,22.15
"32","E09000012","Hackney","London Borough",2014,258735,8425,32.56
"33","E09000012","Hackney","London Borough",2015,261929,18203,69.5
"34","E09000012","Hackney","London Borough",2016,264892,37113,140.11
"35","E09000012","Hackney","London Borough",2017,264834,39700,149.91
"36","E09000012","Hackney","London Borough",2018,266210,38581,144.93
"37","E09000012","Hackney","London Borough",2019,265825,40809,153.52
"38","E09000012","Hackney","London Borough",2020,263782,47048,178.36
"39","E09000012","Hackney","London Borough",2021,260082,41244,158.58
"40","E09000012","Hackney","London Borough",2022,261814,39112,149.39
"41","E09000012","Hackney","London Borough",2023,265411,38834,146.32
"42","E09000012","Hackney","London Borough",2024,266758,40538,151.97
"43","E09000013","Hammersmith and Fulham","London Borough",2011,182445,34330,188.17
"44","E09000013","Hammersmith and Fulham","London Borough",2012,184439,10646,57.72
"45","E09000013","Hammersmith and Fulham","London Borough",2013,186056,3882,20.86
"46","E09000013","Hammersmith and Fulham","London Borough",2014,186659,6161,33.01
"47","E09000013","Hammersmith and Fulham","London Borough",2015,187246,12801,68.36
"48","E09000013","Hammersmith and Fulham","London Borough",2016,187472,26523,141.48
"49","E09000013","Hammersmith and Fulham","London Borough",2017,187720,27030,143.99
"50","E09000013","Hammersmith and Fulham","London Borough",2018,189037,26775,141.64
"51","E09000013","Hammersmith and Fulham","London Borough",2019,188562,27275,144.65
"52","E09000013","Hammersmith and Fulham","London Borough",2020,186555,27947,149.81
"53","E09000013","Hammersmith and Fulham","London Borough",2021,183310,26352,143.76
"54","E09000013","Hammersmith and Fulham","London Borough",2022,185822,25460,137.01
"55","E09000013","Hammersmith and Fulham","London Borough",2023,187479,26725,142.55
"56","E09000013","Hammersmith and Fulham","London Borough",2024,188687,26969,142.93
"57","E09000014","Haringey","London Borough",2011,255540,40909,160.09
