Code,Name,Geography,Mid-2024,Mid-2023,Mid-2022,Mid-2021,Mid-2020,Mid-2019,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2014,Mid-2013,Mid-2012,Mid-2011
E09000007,Camden,London Borough,"216,943","217,235","217,352","210,968","214,768","217,136","217,915","218,833","221,024","221,032","221,095","221,348","219,647","220,087"
E09000001,City of London,London Borough,"15,111","13,606","11,615","8,689","8,331","8,765","8,165","7,877","7,737","7,668","7,567","7,537","7,514","7,412"
E09000012,Hackney,London Borough,"266,758","265,411","261,814","260,082","263,782","265,825","266,210","264,834","264,892","261,929","258,735","255,646","251,193","247,182"
E09000013,Hammersmith and Fulham,London Borough,"188,687","187,479","185,822","183,310","186,555","188,562","189,037","187,720","187,472","187,246","186,659","186,056","184,439","182,445"
E09000014,Haringey,London Borough,"263,850","263,362","262,078","264,317","269,534","273,716","274,240","274,463","276,262","272,938","268,901","265,054","259,312","255,540"
E09000019,Islington,London Borough,"223,024","222,333","219,769","217,050","221,018","221,994","221,453","221,535","220,620","218,255","214,986","212,604","208,762","206,285"
E09000020,Kensington and Chelsea,London Borough,"144,518","146,499","146,336","144,266","144,874","146,805","148,471","149,651","152,708","156,149","156,178","156,823","157,240","158,251"
E09000022,Lambeth,London Borough,"316,920","318,738","317,657","317,691","325,527","329,513","328,923","327,227","326,613","322,881","318,196","314,375","310,449","304,481"
E09000023,Lewisham,London Borough,"301,255","300,225","299,164","300,013","304,169","305,906","303,127","300,924","298,809","295,364","291,086","286,056","281,011","276,938"
E09000025,Newham,London Borough,"374,523","368,194","357,327","351,256","350,025","349,786","344,570","338,333","335,337","330,322","322,984","316,952","313,750","310,460"
E09000028,Southwark,London Borough,"314,786","313,485","309,327","306,762","312,055","312,591","310,492","307,640","306,720","304,048","299,685","297,868","293,078","288,717"
E09000030,Tower Hamlets,London Borough,"331,886","329,143","324,881","312,715","306,780","305,066","300,050","293,526","289,011","282,674","277,060","270,294","261,936","256,012"
E09000032,Wandsworth,London Borough,"337,655","333,859","330,447","328,429","333,678","334,558","331,069","329,493","326,413","322,658","319,898","316,810","312,262","307,710"
E09000033,Westminster,London Borough,"209,996","210,665","209,333","205,759","205,624","208,415","209,868","210,459","213,193","215,876","214,341","215,907","219,539","219,582"
E09000002,Barking and Dagenham,London Borough,"232,747","226,301","220,392","218,714","219,227","218,828","216,298","214,017","211,047","206,450","201,244","196,204","191,453","187,029"
E09000003,Barnet,London Borough,"405,050","398,191","390,371","388,955","391,046","390,590","387,574","384,117","382,925","377,826","373,853","368,611","363,260","357,538"
E09000004,Bexley,London Borough,"256,434","252,124","247,875","246,637","246,924","246,622","245,244","244,494","244,006","241,427","239,112","236,169","234,435","232,774"
E09000005,Brent,London Borough,"352,976","348,751","341,505","339,248","343,988","347,424","345,558","342,439","339,524","335,605","329,981","324,345","317,984","312,245"
E09000006,Bromley,London Borough,"335,319","332,482","329,930","329,899","331,247","331,192","330,367","329,134","327,701","325,653","321,800","318,582","314,663","310,554"
E09000008,Croydon,London Borough,"409,342","402,217","393,547","390,691","392,101","390,643","386,999","385,567","384,382","381,277","378,244","374,270","369,617","364,815"
E09000009,Ealing,London Borough,"385,985","379,203","370,315","366,762","367,936","367,284","364,208","362,670","362,163","359,144","354,660","350,650","344,834","339,314"
E09000010,Enfield,London Borough,"327,434","328,014","326,867","329,876","333,149","335,151","334,000","333,077","333,295","330,868","326,340","321,754","317,780","313,935"
E09000011,Greenwich,London Borough,"299,528","296,420","292,381","289,537","288,384","288,205","285,773","282,376","278,768","274,230","268,305","264,036","260,360","255,483"
E09000015,Harrow,London Borough,"270,724","266,891","261,798","261,159","262,281","262,065","259,861","257,881","257,317","255,308","251,618","247,018","243,800","240,499"
E09000016,Havering,London Borough,"276,274","270,305","264,786","262,086","261,906","261,296","259,229","257,429","254,487","250,449","246,771","242,550","239,946","237,927"
E09000017,Hillingdon,London Borough,"329,185","321,977","312,162","305,107","306,460","305,641","302,263","299,469","297,451","294,011","290,225","285,982","281,263","275,499"
E09000018,Hounslow,London Borough,"299,424","295,221","289,196","288,164","289,773","289,652","285,430","281,117","278,601","275,097","270,773","265,547","260,584","254,927"
E09000021,Kingston upon Thames,London Borough,"172,692","170,780","169,076","167,992","169,770","169,797","168,729","168,781","168,617","167,594","165,791","164,418","162,562","160,436"
E09000024,Merton,London Borough,"218,539","217,135","215,105","215,426","217,101","217,219","216,171","215,431","215,514","213,791","211,025","208,529","205,166","200,543"
E09000026,Redbridge,London Borough,"321,231","316,556","311,629","310,130","311,750","311,780","308,841","305,937","304,369","301,022","295,837","289,976","285,437","281,395"
E09000027,Richmond upon Thames,London Borough,"196,678","196,061","195,295","195,315","197,797","198,185","197,119","196,849","196,293","194,966","194,492","192,375","189,934","187,527"
E09000029,Sutton,London Borough,"214,525","212,336","210,369","209,617","209,921","208,516","206,286","204,824","203,299","201,208","199,144","196,678","193,982","191,123"
E09000031,Waltham Forest,London Borough,"279,737","278,506","275,847","278,147","279,527","281,015","279,795","278,105","277,081","274,579","270,606","267,963","263,575","259,742"
