borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,2011,crime_rate_per_1000,154.39,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2012,crime_rate_per_1000,131.25,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2013,crime_rate_per_1000,117.61,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2014,crime_rate_per_1000,104.54,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2015,crime_rate_per_1000,103.29,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2016,crime_rate_per_1000,105.99,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2017,crime_rate_per_1000,109.3,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2018,crime_rate_per_1000,103.33,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2019,crime_rate_per_1000,106.62,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2020,crime_rate_per_1000,120.2,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2021,crime_rate_per_1000,110.04,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2022,crime_rate_per_1000,112.36,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2023,crime_rate_per_1000,109.83,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000002,Barking and Dagenham,2024,crime_rate_per_1000,103.71,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2011,crime_rate_per_1000,112.22,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2012,crime_rate_per_1000,103.28,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2013,crime_rate_per_1000,89.91,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2014,crime_rate_per_1000,85.45,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2015,crime_rate_per_1000,84.81,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2016,crime_rate_per_1000,86.93,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2017,crime_rate_per_1000,87.38,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2018,crime_rate_per_1000,89.66,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
E09000003,Barnet,2019,crime_rate_per_1000,96.54,UK Police street-level crime (Met + City of London),LSOA aggregated to borough,calendar year; denominator = ONS mid-year estimate; 12 months of data
