borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,1999,income_mean,16200,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; supplementary
E09000002,Barking and Dagenham,1999,income_median,15100,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; analysis metric
E09000002,Barking and Dagenham,1999,income_taxpayers,62000,HMRC personal income by tax year (London Datastore),borough,financial year 1999-00 assigned to start year; supplementary
E09000002,Barking and Dagenham,2000,income_mean,18100,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; supplementary
E09000002,Barking and Dagenham,2000,income_median,15600,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2000,income_taxpayers,71000,HMRC personal income by tax year (London Datastore),borough,financial year 2000-01 assigned to start year; supplementary
E09000002,Barking and Dagenham,2001,income_mean,18600,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; supplementary
E09000002,Barking and Dagenham,2001,income_median,16200,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2001,income_taxpayers,56000,HMRC personal income by tax year (London Datastore),borough,financial year 2001-02 assigned to start year; supplementary
E09000002,Barking and Dagenham,2002,income_mean,19100,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; supplementary
E09000002,Barking and Dagenham,2002,income_median,17000,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2002,income_taxpayers,67000,HMRC personal income by tax year (London Datastore),borough,financial year 2002-03 assigned to start year; supplementary
E09000002,Barking and Dagenham,2003,income_mean,18800,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; supplementary
E09000002,Barking and Dagenham,2003,income_median,17400,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2003,income_taxpayers,67000,HMRC personal income by tax year (London Datastore),borough,financial year 2003-04 assigned to start year; supplementary
E09000002,Barking and Dagenham,2004,income_mean,19400,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; supplementary
E09000002,Barking and Dagenham,2004,income_median,16600,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2004,income_taxpayers,77000,HMRC personal income by tax year (London Datastore),borough,financial year 2004-05 assigned to start year; supplementary
E09000002,Barking and Dagenham,2005,income_mean,20600,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; supplementary
E09000002,Barking and Dagenham,2005,income_median,17900,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2005,income_taxpayers,83000,HMRC personal income by tax year (London Datastore),borough,financial year 2005-06 assigned to start year; supplementary
E09000002,Barking and Dagenham,2006,income_mean,20600,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; supplementary
E09000002,Barking and Dagenham,2006,income_median,17600,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; analysis metric
E09000002,Barking and Dagenham,2006,income_taxpayers,77000,HMRC personal income by tax year (London Datastore),borough,financial year 2006-07 assigned to start year; supplementary
