borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,2003,life_expectancy_65_female,18.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 17.9-18.7"
E09000002,Barking and Dagenham,2003,life_expectancy_65_male,14.7,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 14.3-15.1"
E09000002,Barking and Dagenham,2003,life_expectancy_birth_female,79.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 78.8-79.8"
E09000002,Barking and Dagenham,2003,life_expectancy_birth_male,74.5,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2001 to 2003 assigned to END year; higher_is_better; 95% CI 74-75.1"
E09000002,Barking and Dagenham,2004,life_expectancy_65_female,18.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 17.9-18.6"
E09000002,Barking and Dagenham,2004,life_expectancy_65_male,15,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 14.6-15.4"
E09000002,Barking and Dagenham,2004,life_expectancy_birth_female,79.2,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, female, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 78.7-79.7"
E09000002,Barking and Dagenham,2004,life_expectancy_birth_male,74.8,ONS life expectancy for local areas of the UK,borough,"life expectancy at birth, male, years; rolling period 2002 to 2004 assigned to END year; higher_is_better; 95% CI 74.3-75.4"
E09000002,Barking and Dagenham,2005,life_expectancy_65_female,18.3,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, female, years; rolling period 2003 to 2005 assigned to END year; higher_is_better; 95% CI 17.9-18.7"
E09000002,Barking and Dagenham,2005,life_expectancy_65_male,15,ONS life expectancy for local areas of the UK,borough,"life expectancy at age 65, male, years; rolling period 2003 to 2005 assigned to END year; higher_is_better; 95% CI 14.6-15.4"
