borough_gss,borough_name,year,metric,value,source,geography_native,notes
E09000002,Barking and Dagenham,2011,wellbeing_anxiety,3.23,ONS personal well-being estimates by local authority (time series v4),borough,"Anxiety, mean rating 0-10, financial year 2011-12 assigned to start year; higher_is_worse; 95% CI 2.93-3.52"
E09000002,Barking and Dagenham,2011,wellbeing_happiness,6.91,ONS personal well-being estimates by local authority (time series v4),borough,"Happiness, mean rating 0-10, financial year 2011-12 assigned to start year; higher_is_better; 95% CI 6.64-7.18"
E09000002,Barking and Dagenham,2011,wellbeing_life_satisfaction,7.05,ONS personal well-being estimates by local authority (time series v4),borough,"Life satisfaction, mean rating 0-10, financial year 2011-12 assigned to start year; higher_is_better; 95% CI 6.83-7.27"
E09000002,Barking and Dagenham,2011,wellbeing_worthwhile,7.49,ONS personal well-being estimates by local authority (time series v4),borough,"Worthwhile, mean rating 0-10, financial year 2011-12 assigned to start year; higher_is_better; 95% CI 7.29-7.7"
E09000002,Barking and Dagenham,2012,wellbeing_anxiety,3.27,ONS personal well-being estimates by local authority (time series v4),borough,"Anxiety, mean rating 0-10, financial year 2012-13 assigned to start year; higher_is_worse; 95% CI 2.94-3.6"
E09000002,Barking and Dagenham,2012,wellbeing_happiness,7.05,ONS personal well-being estimates by local authority (time series v4),borough,"Happiness, mean rating 0-10, financial year 2012-13 assigned to start year; higher_is_better; 95% CI 6.79-7.3"
E09000002,Barking and Dagenham,2012,wellbeing_life_satisfaction,7.09,ONS personal well-being estimates by local authority (time series v4),borough,"Life satisfaction, mean rating 0-10, financial year 2012-13 assigned to start year; higher_is_better; 95% CI 6.88-7.29"
E09000002,Barking and Dagenham,2012,wellbeing_worthwhile,7.6,ONS personal well-being estimates by local authority (time series v4),borough,"Worthwhile, mean rating 0-10, financial year 2012-13 assigned to start year; higher_is_better; 95% CI 7.41-7.78"
E09000002,Barking and Dagenham,2013,wellbeing_anxiety,3.39,ONS personal well-being estimates by local authority (time series v4),borough,"Anxiety, mean rating 0-10, financial year 2013-14 assigned to start year; higher_is_worse; 95% CI 3.07-3.71"
E09000002,Barking and Dagenham,2013,wellbeing_happiness,7.16,ONS personal well-being estimates by local authority (time series v4),borough,"Happiness, mean rating 0-10, financial year 2013-14 assigned to start year; higher_is_better; 95% CI 6.91-7.42"
E09000002,Barking and Dagenham,2013,wellbeing_life_satisfaction,7.01,ONS personal well-being estimates by local authority (time series v4),borough,"Life satisfaction, mean rating 0-10, financial year 2013-14 assigned to start year; higher_is_better; 95% CI 6.79-7.22"
E09000002,Barking and Dagenham,2013,wellbeing_worthwhile,7.39,ONS personal well-being estimates by local authority (time series v4),borough,"Worthwhile, mean rating 0-10, financial year 2013-14 assigned to start year; higher_is_better; 95% CI 7.18-7.6"
E09000002,Barking and Dagenham,2014,wellbeing_anxiety,3.15,ONS personal well-being estimates by local authority (time series v4),borough,"Anxiety, mean rating 0-10, financial year 2014-15 assigned to start year; higher_is_worse; 95% CI 2.83-3.47"
E09000002,Barking and Dagenham,2014,wellbeing_happiness,7.26,ONS personal well-being estimates by local authority (time series v4),borough,"Happiness, mean rating 0-10, financial year 2014-15 assigned to start year; higher_is_better; 95% CI 6.99-7.53"
E09000002,Barking and Dagenham,2014,wellbeing_life_satisfaction,7.32,ONS personal well-being estimates by local authority (time series v4),borough,"Life satisfaction, mean rating 0-10, financial year 2014-15 assigned to start year; higher_is_better; 95% CI 7.1-7.55"
E09000002,Barking and Dagenham,2014,wellbeing_worthwhile,7.57,ONS personal well-being estimates by local authority (time series v4),borough,"Worthwhile, mean rating 0-10, financial year 2014-15 assigned to start year; higher_is_better; 95% CI 7.33-7.81"
