status,year,codes,records
attributed,2011,4830,1231238
attributed,2012,4831,1130814
attributed,2013,4831,994653
attributed,2014,4831,943158
attributed,2015,4831,941620
attributed,2016,4831,988233
attributed,2017,4831,1034122
attributed,2018,4831,1047880
attributed,2019,4831,1101847
attributed,2020,4831,1178591
attributed,2021,5004,1059429
attributed,2022,5151,1083378
attributed,2023,5157,1115715
attributed,2024,4981,1144233
attributed,2025,4981,1142808
attributed,2026,4981,356263
blank,2011,1,8
blank,2012,1,7993
blank,2013,1,11593
blank,2014,1,10714
blank,2015,1,11927
blank,2016,1,11150
blank,2017,1,12886
blank,2018,1,13726
blank,2019,1,13844
blank,2020,1,6173
blank,2021,1,15699
blank,2022,1,26802
blank,2023,1,24385
blank,2024,1,1637
blank,2025,1,625
blank,2026,1,195
outside_london,2011,55,388
outside_london,2012,621,1093
outside_london,2013,417,754
outside_london,2014,543,889
outside_london,2015,583,903
outside_london,2016,1124,1732
outside_london,2017,1079,1704
outside_london,2018,888,1540
outside_london,2019,1402,2383
outside_london,2020,1824,3083
outside_london,2021,2451,4139
outside_london,2022,2726,4780
outside_london,2023,2568,4229
outside_london,2024,2240,3451
outside_london,2025,3488,5858
outside_london,2026,1584,2212
