lsoa,N,status
"",127122,blank
E01021752,210,outside_london
E01030703,198,outside_london
E01021806,198,outside_london
E01017813,184,outside_london
E01021764,173,outside_london
E01023337,166,outside_london
E01031575,162,outside_london
E01016482,146,outside_london
E01021766,145,outside_london
E01030330,113,outside_london
E01015924,113,outside_london
E01030709,110,outside_london
E01016544,104,outside_london
E01031585,102,outside_london
E01024182,98,outside_london
E01030389,97,outside_london
E01021765,95,outside_london
E01035178,95,outside_london
E01021473,94,outside_london
E01024180,92,outside_london
E01021468,89,outside_london
E01023849,88,outside_london
E01021749,82,outside_london
E01016011,82,outside_london
E01030563,80,outside_london
E01032571,80,outside_london
E01030856,78,outside_london
E01024147,78,outside_london
E01030333,77,outside_london
E01030743,74,outside_london
E01015811,73,outside_london
E01021767,72,outside_london
E01017812,72,outside_london
E01024152,72,outside_london
E01030326,72,outside_london
E01030746,71,outside_london
E01030408,71,outside_london
E01022090,70,outside_london
E01024172,70,outside_london
E01030744,68,outside_london
E01030748,68,outside_london
E01021817,66,outside_london
E01021750,65,outside_london
E01030747,64,outside_london
E01030322,64,outside_london
E01030401,60,outside_london
E01023575,57,outside_london
E01030569,56,outside_london
E01015971,56,outside_london
E01024439,56,outside_london
E01017810,56,outside_london
E01023947,55,outside_london
E01021818,55,outside_london
E01021745,54,outside_london
E01023564,54,outside_london
E01024155,54,outside_london
E01023861,53,outside_london
E01021780,53,outside_london
E01017827,53,outside_london
E01023336,53,outside_london
E01030755,52,outside_london
E01030396,51,outside_london
E01023548,50,outside_london
E01016013,50,outside_london
E01023338,47,outside_london
E01023584,47,outside_london
E01021433,47,outside_london
E01021748,47,outside_london
E01015925,47,outside_london
E01030565,46,outside_london
E01024421,46,outside_london
E01030852,46,outside_london
E01030350,46,outside_london
E01021800,46,outside_london
E01030853,45,outside_london
E01024483,45,outside_london
E01021770,45,outside_london
E01023860,44,outside_london
E01030398,43,outside_london
E01030604,43,outside_london
E01030393,42,outside_london
E01021746,42,outside_london
E01030323,41,outside_london
E01030387,41,outside_london
E01016012,41,outside_london
E01030567,40,outside_london
E01030860,40,outside_london
E01030388,40,outside_london
E01024186,40,outside_london
E01030568,38,outside_london
E01021744,38,outside_london
E01024181,38,outside_london
E01023543,38,outside_london
E01024185,37,outside_london
E01016567,37,outside_london
E01030859,37,outside_london
E01030319,36,outside_london
E01030386,36,outside_london
E01030844,36,outside_london
E01023332,35,outside_london
E01030858,35,outside_london
E01032624,34,outside_london
E01030752,34,outside_london
E01030712,33,outside_london
E01024149,33,outside_london
E01030685,33,outside_london
E01023339,33,outside_london
E01023293,32,outside_london
E01023530,31,outside_london
E01030714,31,outside_london
E01030400,31,outside_london
E01016952,31,outside_london
E01021743,30,outside_london
E01023546,30,outside_london
E01016456,30,outside_london
E01023862,30,outside_london
E01030725,29,outside_london
E01016014,29,outside_london
E01033620,29,outside_london
E01021776,29,outside_london
E01030706,29,outside_london
E01034370,29,outside_london
E01023839,28,outside_london
E01024480,28,outside_london
E01030820,28,outside_london
E01021443,28,outside_london
E01021791,28,outside_london
E01015938,28,outside_london
E01030411,27,outside_london
E01024164,27,outside_london
E01030325,27,outside_london
E01023840,27,outside_london
E01015976,27,outside_london
E01015921,27,outside_london
E01024136,27,outside_london
E01035586,27,outside_london
E01033415,26,outside_london
E01024163,26,outside_london
E01030857,26,outside_london
E01030750,26,outside_london
E01024146,26,outside_london
E01030707,26,outside_london
E01021781,25,outside_london
E01023574,25,outside_london
E01024148,25,outside_london
E01024144,25,outside_london
E01021810,25,outside_london
E01024167,25,outside_london
E01023805,25,outside_london
E01024294,25,outside_london
E01024176,25,outside_london
E01030850,25,outside_london
E01023888,25,outside_london
E01030378,25,outside_london
E01023901,25,outside_london
E01023555,24,outside_london
E01015808,24,outside_london
E01016480,24,outside_london
E01017829,24,outside_london
E01023580,24,outside_london
E01021785,24,outside_london
E01030745,23,outside_london
E01021318,23,outside_london
E01023373,23,outside_london
E01030399,23,outside_london
E01030736,23,outside_london
E01024476,23,outside_london
E01024179,23,outside_london
E01023528,23,outside_london
E01024151,23,outside_london
E01023303,23,outside_london
E01030749,23,outside_london
E01021840,23,outside_london
E01024161,22,outside_london
E01023547,22,outside_london
E01030410,22,outside_london
E01030548,22,outside_london
E01024145,22,outside_london
E01024580,22,outside_london
E01030710,22,outside_london
E01015926,22,outside_london
E01030549,22,outside_london
E01030560,21,outside_london
E01023297,21,outside_london
E01015978,21,outside_london
E01023310,20,outside_london
E01030324,20,outside_london
E01023333,20,outside_london
E01024277,20,outside_london
E01033615,20,outside_london
E01030352,20,outside_london
E01023305,20,outside_london
E01024477,20,outside_london
E01023335,20,outside_london
E01021268,20,outside_london
E01024440,20,outside_london
E01015948,20,outside_london
E01030751,20,outside_london
E01021436,19,outside_london
E01015956,19,outside_london
E01024142,19,outside_london
E01030310,19,outside_london
E01024133,19,outside_london
E01015841,19,outside_london
E01032799,19,outside_london
E01023301,19,outside_london
E01024481,19,outside_london
E01015932,19,outside_london
E01017811,19,outside_london
E01023806,19,outside_london
E01024137,19,outside_london
E01035585,19,outside_london
E01030405,18,outside_london
E01021872,18,outside_london
E01023299,18,outside_london
E01030390,18,outside_london
E01021747,18,outside_london
E01024478,18,outside_london
E01016483,18,outside_london
E01016514,18,outside_london
E01015852,18,outside_london
E01024169,18,outside_london
E01023566,18,outside_london
E01024183,18,outside_london
E01023537,18,outside_london
E01015952,18,outside_london
E01016462,18,outside_london
E01021814,18,outside_london
E01030385,18,outside_london
E01030296,17,outside_london
E01023576,17,outside_london
E01021103,17,outside_london
E01023572,17,outside_london
E01030704,17,outside_london
E01017837,17,outside_london
E01021741,17,outside_london
E01023570,17,outside_london
E01024138,17,outside_london
E01023536,17,outside_london
E01021446,17,outside_london
E01024189,17,outside_london
E01023855,17,outside_london
E01030561,17,outside_london
E01024475,17,outside_london
E01033209,17,outside_london
E01024162,17,outside_london
E01023539,17,outside_london
E01015954,16,outside_london
E01024184,16,outside_london
E01030336,16,outside_london
E01021768,16,outside_london
E01023841,16,outside_london
E01021757,16,outside_london
E01030383,16,outside_london
E01030718,16,outside_london
E01021774,16,outside_london
E01023569,16,outside_london
E01016355,16,outside_london
E01017835,16,outside_london
E01015789,16,outside_london
E01017824,16,outside_london
E01030721,16,outside_london
E01021742,16,outside_london
E01030392,16,outside_london
E01033314,16,outside_london
E01030327,16,outside_london
E01021751,16,outside_london
E01030406,16,outside_london
E01030351,16,outside_london
E01017502,16,outside_london
E01016479,16,outside_london
E01023541,16,outside_london
E01016017,16,outside_london
E01032800,16,outside_london
