year,force,files,rows,rows_per_file
2011,city-of-london,12,8458,705
2011,metropolitan,12,1223176,101931
2012,city-of-london,12,7522,627
2012,metropolitan,12,1132378,94365
2013,city-of-london,12,6613,551
2013,metropolitan,12,1000387,83366
2014,city-of-london,12,6511,543
2014,metropolitan,12,948250,79021
2015,city-of-london,12,6185,515
2015,metropolitan,12,948265,79022
2016,city-of-london,12,6586,549
2016,metropolitan,12,994529,82877
2017,city-of-london,12,7312,609
2017,metropolitan,12,1041400,86783
2018,city-of-london,12,8546,712
2018,metropolitan,12,1054600,87883
2019,city-of-london,12,10032,836
2019,metropolitan,12,1108042,92337
2020,city-of-london,12,5925,494
2020,metropolitan,12,1181922,98494
2021,city-of-london,12,6391,533
2021,metropolitan,12,1072876,89406
2022,city-of-london,12,8469,706
2022,metropolitan,12,1106491,92208
2023,city-of-london,12,9298,775
2023,metropolitan,12,1135031,94586
2024,city-of-london,12,9992,833
2024,metropolitan,12,1139329,94944
2025,city-of-london,12,8875,740
2025,metropolitan,12,1140416,95035
2026,city-of-london,4,2877,719
2026,metropolitan,4,355793,88948
