borough_gss,Geography,period,MeasureOfWellbeing,marking
E09000001,City of London,2017-18,Happiness,[u]
E09000001,City of London,2021-22,Happiness,[u]
E09000001,City of London,2017-18,Worthwhile,[u]
E09000001,City of London,2013-14,Life satisfaction,[u]
E09000001,City of London,2012-13,Happiness,[u]
E09000001,City of London,2014-15,Happiness,[u]
E09000001,City of London,2013-14,Happiness,[u]
E09000001,City of London,2015-16,Happiness,[u]
E09000001,City of London,2021-22,Anxiety,[u]
E09000001,City of London,2022-23,Anxiety,[u]
E09000001,City of London,2020-21,Worthwhile,[u]
E09000001,City of London,2015-16,Life satisfaction,[u]
E09000001,City of London,2022-23,Life satisfaction,[u]
E09000001,City of London,2017-18,Anxiety,[u]
E09000001,City of London,2014-15,Life satisfaction,[u]
E09000001,City of London,2022-23,Worthwhile,[u]
E09000001,City of London,2016-17,Worthwhile,[u]
E09000001,City of London,2021-22,Worthwhile,[u]
E09000001,City of London,2020-21,Anxiety,[u]
E09000001,City of London,2014-15,Worthwhile,[u]
E09000001,City of London,2022-23,Happiness,[u]
E09000001,City of London,2018-19,Happiness,[u]
E09000001,City of London,2019-20,Happiness,[u]
E09000001,City of London,2020-21,Happiness,[u]
E09000001,City of London,2012-13,Anxiety,[u]
E09000001,City of London,2015-16,Anxiety,[u]
E09000001,City of London,2019-20,Anxiety,[u]
E09000001,City of London,2011-12,Anxiety,[u]
E09000001,City of London,2012-13,Life satisfaction,[u]
E09000001,City of London,2013-14,Anxiety,[u]
E09000001,City of London,2021-22,Life satisfaction,[u]
E09000001,City of London,2014-15,Anxiety,[u]
E09000001,City of London,2016-17,Anxiety,[u]
E09000001,City of London,2020-21,Life satisfaction,[u]
E09000001,City of London,2013-14,Worthwhile,[u]
E09000001,City of London,2015-16,Worthwhile,[u]
E09000001,City of London,2016-17,Happiness,[u]
E09000001,City of London,2016-17,Life satisfaction,[u]
E09000001,City of London,2012-13,Worthwhile,[u]
E09000001,City of London,2011-12,Happiness,[u]
E09000001,City of London,2011-12,Worthwhile,[u]
E09000001,City of London,2019-20,Worthwhile,[u]
E09000001,City of London,2018-19,Anxiety,[u]
E09000001,City of London,2011-12,Life satisfaction,[u]
E09000001,City of London,2018-19,Life satisfaction,[u]
E09000001,City of London,2019-20,Life satisfaction,[u]
E09000001,City of London,2017-18,Life satisfaction,[u]
E09000001,City of London,2018-19,Worthwhile,[u]
